Release Date,Book,Chapter Number,Chapter Name,Speaker,Dialogue,Addressee,Listener,About Character,Mentioned Character,Present
8/6/1996,A Game Of Thrones,1,Bran I,Jory Cassel,"It is a sign,",Robb Stark;Bran Stark;Theon Greyjoy;Harwin;Hullen;Jon Snow;Desmond;Eddard Stark,,,,TRUE
8/6/1996,A Game Of Thrones,1,Bran I,Eddard Stark,"This is only a dead animal, Jory,",Jory Cassel,Robb Stark;Bran Stark;Theon Greyjoy;Harwin;Hullen;Jon Snow;Desmond,,,TRUE
8/6/1996,A Game Of Thrones,1,Bran I,Eddard Stark,Do we know what killed her?,Robb Stark;Bran Stark;Jory Cassel;Theon Greyjoy;Harwin;Hullen;Jon Snow;Desmond,,,,TRUE
8/6/1996,A Game Of Thrones,1,Bran I,Robb Stark,"There's something in the throat,",Eddard Stark,Bran Stark;Jory Cassel;Theon Greyjoy;Harwin;Hullen;Jon Snow;Desmond,,,TRUE
8/6/1996,A Game Of Thrones,1,Bran I,Robb Stark,"There, just under the jaw.",Eddard Stark,Bran Stark;Jory Cassel;Theon Greyjoy;Harwin;Hullen;Jon Snow;Desmond,,,TRUE
8/6/1996,A Game Of Thrones,1,Bran I,Eddard Stark,"I'm surprised she lived long enough to whelp,",Robb Stark;Bran Stark;Jory Cassel;Theon Greyjoy;Harwin;Hullen;Jon Snow;Desmond,,,,TRUE
8/6/1996,A Game Of Thrones,1,Bran I,Jory Cassel,"Maybe she didn't,",Eddard Stark,Robb Stark;Bran Stark;Theon Greyjoy;Harwin;Hullen;Jon Snow;Desmond,,,TRUE
8/6/1996,A Game Of Thrones,1,Bran I,Theon Greyjoy,I've heard tales… maybe the bitch was already dead when the pups came.,Eddard Stark,Robb Stark;Bran Stark;Jory Cassel;Harwin;Hullen;Jon Snow;Desmond,,,TRUE
8/6/1996,A Game Of Thrones,1,Bran I,Unknown (Another man),"Born with the dead,",Robb Stark;Bran Stark;Jory Cassel;Theon Greyjoy;Harwin;Hullen;Jon Snow;Desmond;Eddard Stark,,,,TRUE
8/6/1996,A Game Of Thrones,1,Bran I,Unknown (Another man),Worse luck.,Robb Stark;Bran Stark;Jory Cassel;Theon Greyjoy;Harwin;Hullen;Jon Snow;Desmond;Eddard Stark,,,,TRUE
8/6/1996,A Game Of Thrones,1,Bran I,Hullen,"No matter,",Unknown (Another man),Robb Stark;Bran Stark;Jory Cassel;Theon Greyjoy;Harwin;Jon Snow;Desmond;Eddard Stark,,,TRUE
8/6/1996,A Game Of Thrones,1,Bran I,Hullen,They be dead soon enough too.,Unknown (Another man),Robb Stark;Bran Stark;Jory Cassel;Theon Greyjoy;Harwin;Jon Snow;Desmond;Eddard Stark,,,TRUE
8/6/1996,A Game Of Thrones,1,Bran I,Theon Greyjoy,"The sooner the better,",Hullen,Robb Stark;Bran Stark;Jory Cassel;Harwin;Jon Snow;Desmond;Eddard Stark,,,TRUE
8/6/1996,A Game Of Thrones,1,Bran I,Theon Greyjoy,"Give the beast here, Bran.",Bran Stark,Robb Stark;Jory Cassel;Harwin;Hullen;Jon Snow;Desmond;Eddard Stark,,,TRUE
8/6/1996,A Game Of Thrones,1,Bran I,Bran Stark,No!,Theon Greyjoy,Robb Stark;Jory Cassel;Harwin;Hullen;Jon Snow;Desmond;Eddard Stark,,,TRUE
8/6/1996,A Game Of Thrones,1,Bran I,Bran Stark,It's mine.,Theon Greyjoy,Robb Stark;Jory Cassel;Harwin;Hullen;Jon Snow;Desmond;Eddard Stark,,,TRUE
8/6/1996,A Game Of Thrones,1,Bran I,Robb Stark,"Put away your sword, Greyjoy,",Theon Greyjoy,Bran Stark;Jory Cassel;Harwin;Hullen;Jon Snow;Desmond;Eddard Stark,,,TRUE
8/6/1996,A Game Of Thrones,1,Bran I,Robb Stark,We will keep these pups.,Theon Greyjoy,Bran Stark;Jory Cassel;Harwin;Hullen;Jon Snow;Desmond;Eddard Stark,,,TRUE
8/6/1996,A Game Of Thrones,1,Bran I,Harwin,"You cannot do that, boy,",Robb Stark,Bran Stark;Jory Cassel;Theon Greyjoy;Hullen;Jon Snow;Desmond;Eddard Stark,,,TRUE
8/6/1996,A Game Of Thrones,1,Bran I,Hullen,"It be a mercy to kill them,",Robb Stark,Bran Stark;Jory Cassel;Theon Greyjoy;Harwin;Jon Snow;Desmond;Eddard Stark,,,TRUE
8/6/1996,A Game Of Thrones,1,Bran I,Eddard Stark,"Hullen speaks truly, son. Better a swift death than a hard one from cold and starvation.",Robb Stark,Bran Stark;Jory Cassel;Theon Greyjoy;Harwin;Hullen;Jon Snow;Desmond,Hullen,Hullen,TRUE
8/6/1996,A Game Of Thrones,1,Bran I,Bran Stark,No!,Eddard Stark,Robb Stark;Jory Cassel;Theon Greyjoy;Harwin;Hullen;Jon Snow;Desmond,,,TRUE
8/6/1996,A Game Of Thrones,1,Bran I,Robb Stark,"Ser Rodrik's red bitch whelped again last week,",Eddard Stark,Bran Stark;Jory Cassel;Theon Greyjoy;Harwin;Hullen;Jon Snow;Desmond,Rodrik Cassel,Rodrik Cassel,TRUE
8/6/1996,A Game Of Thrones,1,Bran I,Robb Stark,"It was a small litter, only two live pups. She'll have milk enough.",Eddard Stark,Bran Stark;Jory Cassel;Theon Greyjoy;Harwin;Hullen;Jon Snow;Desmond,,,TRUE
8/6/1996,A Game Of Thrones,1,Bran I,Eddard Stark,She'll rip them apart when they try to nurse.,Robb Stark,Bran Stark;Jory Cassel;Theon Greyjoy;Harwin;Hullen;Jon Snow;Desmond,,,TRUE
8/6/1996,A Game Of Thrones,1,Bran I,Jon Snow,"Lord Stark,",Eddard Stark,Robb Stark;Bran Stark;Jory Cassel;Theon Greyjoy;Harwin;Hullen;Desmond,,,TRUE
8/6/1996,A Game Of Thrones,1,Bran I,Jon Snow,"There are five pups,",Eddard Stark,Robb Stark;Bran Stark;Jory Cassel;Theon Greyjoy;Harwin;Hullen;Desmond,,,TRUE
8/6/1996,A Game Of Thrones,1,Bran I,Jon Snow,"Three male, two female.",Eddard Stark,Robb Stark;Bran Stark;Jory Cassel;Theon Greyjoy;Harwin;Hullen;Desmond,,,TRUE
8/6/1996,A Game Of Thrones,1,Bran I,Eddard Stark,"What of it, Jon?",Jon Snow,Robb Stark;Bran Stark;Jory Cassel;Theon Greyjoy;Harwin;Hullen;Desmond,,,TRUE
